Term,Category,Suggested_Regex
Total addressable market,Market & Expansion Strategy,total addressable market|\btam\b
TAM expansion,Market & Expansion Strategy,tam expansion
Market share acquisition,Market & Expansion Strategy,market share acquisition
Demographic shift,Market & Expansion Strategy,demographic shift
Vertical integration,Market & Expansion Strategy,vertical integration
Horizontal integration,Market & Expansion Strategy,horizontal integration
Capital reallocation,Capital & Resource Allocation,capital reallocation
Reinvestment,Capital & Resource Allocation,reinvest.*
Shift in R&D,Capital & Resource Allocation,shift in r&d|r&d shift
Research and development focus,Capital & Resource Allocation,research and development focus
Strategic initiative,Capital & Resource Allocation,strategic initiative.*
Growth initiative,Capital & Resource Allocation,growth initiative.*
Capital deployment,Capital & Resource Allocation,capital deployment
Optimization plan,Capital & Resource Allocation,optimization plan
Cost-saving initiative,Capital & Resource Allocation,cost-saving initiative
Budget reallocation,Capital & Resource Allocation,budget reallocation
Strategic priority,Capital & Resource Allocation,strategic priorit.*
Core competency,Capital & Resource Allocation,core competenc.*
Non-core asset,Capital & Resource Allocation,non-core asset.*
Asset sale,Capital & Resource Allocation,asset sale.*
Strategic alternative,Capital & Resource Allocation,strategic alternative.*
Portfolio optimization,Capital & Resource Allocation,portfolio optimization
Resource allocation,Capital & Resource Allocation,resource allocation
Structural cost reduction,Capital & Resource Allocation,structural cost reduction
Operational excellence,Capital & Resource Allocation,operational excellence
Margin expansion,Capital & Resource Allocation,margin expansion
Supply chain redesign,Supply Chain & Operations,supply chain redesign
Nearshoring,Supply Chain & Operations,nearshoring|near-shoring
Friendshoring,Supply Chain & Operations,friendshoring|friend-shoring
Onshoring,Supply Chain & Operations,onshoring|on-shoring
Reshoring,Supply Chain & Operations,reshoring|re-shoring
Supply chain resilience,Supply Chain & Operations,supply chain resilience
Supplier diversification,Supply Chain & Operations,supplier diversification
Capacity expansion,Supply Chain & Operations,capacity expansion
Manufacturing pivot,Supply Chain & Operations,manufacturing pivot
Outsourced,Supply Chain & Operations,outsourc.*
Insourced,Supply Chain & Operations,insourc.*
Verticalization,Supply Chain & Operations,verticalization
Logistics optimization,Supply Chain & Operations,logistics optimization
Footprint optimization,Supply Chain & Operations,footprint optimization
Decentralization,Supply Chain & Operations,decentraliz.*
Centralization,Supply Chain & Operations,centraliz.*
Agility,Supply Chain & Operations,agilit.*
Procurement strategy,Supply Chain & Operations,procurement strategy
Inventory optimization,Supply Chain & Operations,inventory optimization
Operating model,Supply Chain & Operations,operating model
Strategic sourcing,Supply Chain & Operations,strategic sourcing
